reconciliation_id,parent_schedule,parent_item,parent_mdrm,child_schedule,child_items,formula,validation_type,priority,notes
# SECTION 3: LOANS RECONCILIATIONS - HC to HC-C (10 formulas)
# ----------------------------------------------------------------------------
RECON_LOAN_001,HC,4.b,BHCTB528,HC-C,12,HC.4.b = HC-C.12,cross_schedule,CRITICAL,Loans net of unearned income tie to HC-C
RECON_LOAN_002,HC,4.c,BHCT3123,HC-C,11,HC.4.c = HC-C.11 (Allowance),cross_schedule,CRITICAL,ALLL must tie between HC and HC-C
RECON_LOAN_003,HC-C,12,BHCTB529,HC-C,Sum(1-9) - 10 - 11,HC-C.12 = Sum(1-9) - Item 10 - Item 11,sum,CRITICAL,Net loans = gross - unearned - allowance
RECON_LOAN_004,HC-C,1,BHCT1410,HC-C,1.a + 1.b + 1.c + 1.d + 1.e + 1.f,HC-C.1 = Sum(Items 1.a through 1.f),sum,HIGH,RE loans = all RE subcategories
RECON_LOAN_005,HC-C,1.a,BHCT1415,HC-C,1.a.(1) + 1.a.(2),HC-C.1.a = HC-C.1.a.(1) + HC-C.1.a.(2),sum,MEDIUM,Construction = 1-4 family + Other construction
RECON_LOAN_006,HC-C,1.d,BHCT5367,HC-C,1.d.(1) + 1.d.(2),HC-C.1.d = HC-C.1.d.(1) + HC-C.1.d.(2),sum,MEDIUM,1-4 family = First liens + Junior liens
RECON_LOAN_007,HC-C,1.f,BHCT1480,HC-C,1.f.(1) + 1.f.(2),HC-C.1.f = HC-C.1.f.(1) + HC-C.1.f.(2),sum,MEDIUM,Nonfarm nonres = Owner-occ + Non-owner
RECON_LOAN_008,HC-C,4,BHCT1766,HC-C,4.a + 4.b,HC-C.4 = HC-C.4.a + HC-C.4.b,sum,HIGH,C&I loans = Domestic + Foreign addressees
RECON_LOAN_009,HC-C,5,BHCK1975,HC-C,5.a + 5.b + 5.c + 5.d,HC-C.5 = Sum(Items 5.a through 5.d),sum,HIGH,Consumer loans = CC + Revolving + Auto + Other
RECON_LOAN_010,HC-C,9,BHCTB541,HC-C,9.a + 9.b,HC-C.9 = HC-C.9.a + HC-C.9.b,sum,MEDIUM,Leases = Individual + Other leases

# ----------------------------------------------------------------------------
# SECTION 4: TRADING RECONCILIATIONS - HC to HC-D to HC-L (8 formulas)
# ----------------------------------------------------------------------------
RECON_TRD_001,HC,5,BHCT3545,HC-D,12,HC.5 = HC-D.12,cross_schedule,CRITICAL,Trading assets must tie HC to HC-D
RECON_TRD_002,HC,15,BHCT3548,HC-D,15,HC.15 = HC-D.15,cross_schedule,CRITICAL,Trading liabilities must tie HC to HC-D
RECON_TRD_003,HC-D,12,BHCT3545,HC-D,Sum(1-11),HC-D.12 = Sum(Items 1-11),sum,HIGH,Trading assets total = sum of components
RECON_TRD_004,HC-D,15,BHCT3548,HC-D,13 + 14,HC-D.15 = HC-D.13 + HC-D.14,sum,HIGH,Trading liabilities = Short positions + Deriv neg FV
RECON_TRD_005,HC-D,11,BHCT3543,HC-L,Sum(Pos FV),HC-D.11 = Sum(HC-L Trading + NonTrading Positive FV),cross_schedule,CRITICAL,Derivatives positive FV must reconcile to HC-L
RECON_TRD_006,HC-D,14,BHCT3547,HC-L,Sum(Neg FV),HC-D.14 = Sum(HC-L Trading + NonTrading Negative FV),cross_schedule,CRITICAL,Derivatives negative FV must reconcile to HC-L
RECON_TRD_007,HC-D,5 MBS,CALCULATED,HC-D,5.a + 5.b + 5.c + 5.d + 5.e,MBS Trading = K197 + K198 + K199 + K200 + K201,sum,HIGH,Trading MBS total = all MBS trading types
RECON_TRD_008,HC-D,13,CALCULATED,HC-D,13.a.(1) + 13.a.(2) + 13.a.(3) + 13.b,Short Positions = All short position components,sum,HIGH,Short positions = securities + other shorts

# ----------------------------------------------------------------------------
# SECTION 5: CAPITAL RECONCILIATIONS - HC-R Components (12 formulas)
# ----------------------------------------------------------------------------
RECON_CAP_001,HC-R,19,BHCAP859,HC-R,6 - 18,CET1 = CET1 Before Adjustments - CET1 Deductions,derived,CRITICAL,CET1 capital = gross CET1 - deductions
RECON_CAP_002,HC-R,6,BHCAP840,HC-R,Sum(1-5),CET1 Before Adj = Sum(Items 1-5),sum,HIGH,CET1 before deductions = sum of components
RECON_CAP_003,HC-R,18,BHCAP852,HC-R,Sum(7-17),CET1 Deductions = Sum(Items 7-17),sum,HIGH,CET1 deductions = sum of all deduction items
RECON_CAP_004,HC-R,24,BHCA8274,HC-R,19 + 23,Tier 1 = CET1 + Additional Tier 1,sum,CRITICAL,Tier 1 capital = CET1 + AT1
RECON_CAP_005,HC-R,23,BHCAP856,HC-R,20 + 21 - 22,Additional Tier 1 = AT1 instruments + MI - deductions,derived,HIGH,AT1 = instruments + minority - deductions
RECON_CAP_006,HC-R,30,BHCA3792,HC-R,24 + 29,Total Capital = Tier 1 + Tier 2,sum,CRITICAL,Total capital = Tier 1 + Tier 2
RECON_CAP_007,HC-R,29,BHCA5311,HC-R,25 + 26 + 27 - 28,Tier 2 = T2 instruments + MI + ACL - deductions,derived,HIGH,T2 = instruments + minority + allowance - deductions
RECON_CAP_008,HC-R,31,BHCAA223,HC-R,Sum(RWA1-RWA10),Total RWA = Sum(all RWA buckets),sum,CRITICAL,Total RWA = sum of all risk-weighted categories
RECON_CAP_009,HC-R,32,BHCAP793,HC-R,19 / 31,CET1 Ratio = CET1 Capital / Total RWA,ratio,CRITICAL,CET1 ratio calculation
RECON_CAP_010,HC-R,33,BHCAP794,HC-R,24 / 31,Tier 1 Ratio = Tier 1 Capital / Total RWA,ratio,CRITICAL,Tier 1 ratio calculation
RECON_CAP_011,HC-R,34,BHCAP795,HC-R,30 / 31,Total Capital Ratio = Total Capital / Total RWA,ratio,CRITICAL,Total capital ratio calculation
RECON_CAP_012,HC-R,35,BHCAP796,HC-R,24 / Avg Assets,Leverage Ratio = Tier 1 / Average Total Assets,ratio,CRITICAL,Leverage ratio calculation

# ----------------------------------------------------------------------------
# SECTION 6: INCOME STATEMENT RECONCILIATIONS - HI (10 formulas)
# ----------------------------------------------------------------------------
RECON_INC_001,HI,4,BHCT4074,HI,1 - 2,Net Interest Income = Interest Income - Interest Expense,derived,CRITICAL,NII calculation
RECON_INC_002,HI,1,BHCT4107,HI,1.a + 1.b + 1.c + 1.d + 1.e + 1.f,Interest Income = Sum(all interest income components),sum,HIGH,Total interest income = sum of sources
RECON_INC_003,HI,2,BHCT4073,HI,2.a + 2.b + 2.c + 2.d,Interest Expense = Sum(all interest expense components),sum,HIGH,Total interest expense = sum of sources
RECON_INC_004,HI,6,BHCT4079,HI,6.a + 6.b + 6.c + 6.d + 6.e + 6.f,Noninterest Income = Sum(all noninterest income),sum,HIGH,Total noninterest income = sum of sources
RECON_INC_005,HI,7,BHCT4093,HI,7.a + 7.b + 7.c + 7.d,Noninterest Expense = Sum(all noninterest expense),sum,HIGH,Total noninterest expense = sum of sources
RECON_INC_006,HI,8,BHCT4301,HI,4 - 5 + 6 - 7,Income Before Securities/Tax = NII - Provision + NonII - NonIE,derived,HIGH,Pre-tax pre-securities income
RECON_INC_007,HI,12,BHCT4340,HI,8 + gains - 10 - 11,Net Income = Pre-tax income + gains - tax - discontinued,derived,CRITICAL,Net income calculation
RECON_INC_008,HI,ROA,CALCULATED,HI/HC,12 / HC.12,ROA = Net Income / Total Assets,ratio,HIGH,Return on assets
RECON_INC_009,HI,ROE,CALCULATED,HI/HC,12 / HC.28,ROE = Net Income / Total Equity,ratio,HIGH,Return on equity
RECON_INC_010,HI,NIM,CALCULATED,HI/HC,4 / Avg Earning Assets,NIM = NII / Average Earning Assets,ratio,HIGH,Net interest margin

# ----------------------------------------------------------------------------
# SECTION 7: OTHER ASSETS/LIABILITIES RECONCILIATIONS (5 formulas)
# ----------------------------------------------------------------------------
RECON_OTH_001,HC,11,BHCT2160,HC-F,12,HC.11 = HC-F.12 (Other Assets),cross_schedule,CRITICAL,Other assets must tie HC to HC-F
RECON_OTH_002,HC-F,12,BHCT2160,HC-F,Sum(1-11),HC-F.12 = Sum(Items 1-11),sum,HIGH,Other assets = sum of HC-F components
RECON_OTH_003,HC,20,BHCT2930,HC-G,5,HC.20 = HC-G.5 (Other Liabilities),cross_schedule,CRITICAL,Other liabilities must tie HC to HC-G
RECON_OTH_004,HC-G,5,BHCT2930,HC-G,Sum(1-4),HC-G.5 = Sum(Items 1-4),sum,HIGH,Other liabilities = sum of HC-G components
RECON_OTH_005,HC-F,10,BHCT2143,HC-F,10.a + 10.b,HC-F.10 = HC-F.10.a + HC-F.10.b,sum,MEDIUM,Intangibles = Goodwill + Other intangibles

# ----------------------------------------------------------------------------
# SECTION 8: DERIVATIVES RECONCILIATIONS - HC-L Detail (7 formulas)
# ----------------------------------------------------------------------------
RECON_DRV_001,HC-L,Trading Pos FV,CALCULATED,HC-L,8733 + 8734 + 8735 + 8736,Trading Positive FV = Sum(IR + FX + Equity + Commodity),sum,HIGH,Trading positive FV by asset class
RECON_DRV_002,HC-L,Trading Neg FV,CALCULATED,HC-L,8737 + 8738 + 8739 + 8740,Trading Negative FV = Sum(IR + FX + Equity + Commodity),sum,HIGH,Trading negative FV by asset class
RECON_DRV_003,HC-L,NonTrading Pos FV,CALCULATED,HC-L,8741 + 8742 + 8743 + 8744,NonTrading Positive FV = Sum(IR + FX + Equity + Commodity),sum,HIGH,Non-trading positive FV by asset class
RECON_DRV_004,HC-L,NonTrading Neg FV,CALCULATED,HC-L,8745 + 8746 + 8747 + 8748,NonTrading Negative FV = Sum(IR + FX + Equity + Commodity),sum,HIGH,Non-trading negative FV by asset class
RECON_DRV_005,HC-L,CDS Net,CALCULATED,HC-L,C969 + C971 + C975 - C968 - C970 - C974,Net Credit Derivatives = Bought - Sold,derived,MEDIUM,Net credit derivatives exposure
RECON_DRV_006,HC-L,CDS Sold Total,CALCULATED,HC-L,C968 + C970 + C974,CDS Sold Total = CDS + TRS + Other sold,sum,MEDIUM,Total credit protection sold
RECON_DRV_007,HC-L,CDS Bought Total,CALCULATED,HC-L,C969 + C971 + C975,CDS Bought Total = CDS + TRS + Other bought,sum,MEDIUM,Total credit protection bought

# ----------------------------------------------------------------------------
# SECTION 9: CROSS-FORM RECONCILIATIONS - Y-9C to Call Report (5 formulas)
# ----------------------------------------------------------------------------
RECON_XFM_001,FR Y-9C,HC.12,BHCT2170,Call Report,RC.12,Y-9C HC.12 reconciles to sum of subsidiary Call Report RC.12,cross_form,CRITICAL,Consolidated assets = sum of subsidiary banks (with eliminations)
RECON_XFM_002,FR Y-9C,HC.5,BHCT3545,Call Report,RC.5,Y-9C Trading Assets should approximate Call Report RC.5,cross_form,HIGH,Trading assets consolidation check
RECON_XFM_003,FR Y-9C,HC-R.19,BHCAP859,Call Report,RC-R.19,Y-9C CET1 should be consistent with bank-level CET1,cross_form,HIGH,Capital consistency check
RECON_XFM_004,FR Y-9C,HI.12,BHCT4340,Call Report,RI.14,Y-9C Net Income should consolidate from bank net income,cross_form,HIGH,Net income consolidation check
RECON_XFM_005,FR Y-9C,HC-L Notional,CALCULATED,Call Report,RC-L Notional,Derivatives notional should reconcile between forms,cross_form,MEDIUM,Derivatives notional consistency
