line_number,item_description,mdrm_consolidated,mdrm_domestic,forms,start_date,notes
2.a.(1),Loans to depository institutions: To U.S. branches and agencies of foreign banks,RCFDB532,-,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.a.(2),Loans to depository institutions: To other commercial banks in the U.S.,RCFDB533,-,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.b,Loans to depository institutions: To other depository institutions in the U.S.,RCFDB534,RCONB534,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.c,Loans to depository institutions: To banks in foreign countries,RCFDB535,RCONB535,031/041/051,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.c.(1),Loans to depository institutions: To foreign branches of other U.S. banks,RCFDB536,-,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2.c.(2),Loans to depository institutions: To other banks in foreign countries,RCFDB537,-,031,2001-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
4.a,Commercial and industrial loans: To U.S. addressees (domicile),RCFD1763,RCON1763,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
4.b,Commercial and industrial loans: To non-U.S. addressees (domicile),RCFD1764,RCON1764,031/041/051,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
7,Loans to foreign governments and official institutions (incl foreign central banks),RCFD2081,-,031,1985-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.a.(1),RC-C Part I Memoranda: Loan modifications to borrowers in financial difficulty: Construction/land dev: 1-4 family residential construction loans,-,RCONK158,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.a.(2),RC-C Part I Memoranda: Loan modifications: Construction/land dev: Other construction & land development loans,-,RCONK159,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.b,RC-C Part I Memoranda: Loan modifications: Loans secured by 1-4 family residential properties,-,RCONF576,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.c,RC-C Part I Memoranda: Loan modifications: Secured by multifamily (5 or more) residential properties,-,RCONK160,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.d.(1),RC-C Part I Memoranda: Loan modifications: Nonfarm nonresidential: Owner-occupied,-,RCONK161,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.d.(2),RC-C Part I Memoranda: Loan modifications: Nonfarm nonresidential: Other,-,RCONK162,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.e.(1),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To U.S. addressees (domicile),RCFDK163,RCONK163,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.e.(2),RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans: To non-U.S. addressees (domicile),RCFDK164,RCONK164,031/041/051,2011-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f,RC-C Part I Memoranda: Loan modifications: All other loans (incl loans to individuals),-,RCONK165,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f.(1),RC-C Part I Memoranda: Loan modifications itemized: Loans secured by farmland,-,RCONK166,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f.(3),RC-C Part I Memoranda: Loan modifications itemized: Loans to finance agricultural production and other loans to farmers,-,RCONK168,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f.(4)(a),RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Credit card,-,RCONK098,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f.(4)(b),RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Automobile loans,-,RCONK203,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.f.(4)(c),"RC-C Part I Memoranda: Loan modifications itemized: Loans to individuals: Other (revolving credit plans other than credit cards, other consumer)",-,RCONK204,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.g,RC-C Part I Memoranda: Total loan modifications to borrowers in financial difficulty in compliance with modified terms,-,RCONHK25,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(1),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family residential (domestic): Three months or less,-,RCONA564,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(2),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over three months through 12 months,-,RCONA565,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(3),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over one year through three years,-,RCONA566,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(4),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over three years through five years,-,RCONA567,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(5),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over five years through 15 years,-,RCONA568,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.a.(6),RC-C Part I Memoranda: Maturity/repricing: Closed-end first-lien 1-4 family: Over 15 years,-,RCONA569,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(1),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Three months or less,RCFDA570,RCONA570,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(2),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three months through 12 months,RCFDA571,RCONA571,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(3),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over one year through three years,RCFDA572,RCONA572,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(4),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over three years through five years,RCFDA573,RCONA573,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(5),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over five years through 15 years,RCFDA574,RCONA574,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.b.(6),RC-C Part I Memoranda: Maturity/repricing: All other loans and leases: Over 15 years,RCFDA575,RCONA575,031/041/051,1997-06-30,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.2.c,RC-C Part I Memoranda: Loans and leases with REMAINING MATURITY of one year or less,RCFDA247,RCONA247,031/041/051,1996-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.3,"RC-C Part I Memoranda: Loans to finance commercial real estate, construction, and land development (not secured by RE)",-,RCON2746,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.4,RC-C Part I Memoranda: Adjustable-rate closed-end loans secured by first liens on 1-4 family residential (domestic),-,RCON5370,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.5,RC-C Part I Memoranda: Loans secured by real estate to non-U.S. addressees (domicile),RCFDB837,RCONB837,031/041/051,2001-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.6,RC-C Part I Memoranda: Outstanding credit card fees and finance charges (incl in item 6.a),RCFDC391,RCONC391,031/041/051,2003-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.8.a,RC-C Part I Memoranda: Closed-end loans with negative amortization features secured by 1-4 family residential: Total amount,-,RCONF230,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.8.b,RC-C Part I Memoranda: Negative amortization: Total maximum remaining amount contractually permitted,-,RCONF231,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.8.c,RC-C Part I Memoranda: Negative amortization: Total amount of negative amortization,-,RCONF232,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.9,RC-C Part I Memoranda: Loans secured by 1-4 family residential properties in process of foreclosure,-,RCONF577,031/041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.10.a,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to mortgage credit intermediaries,RCFDPV05,RCONPV05,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.10.b,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to business credit intermediaries,RCFDPV06,RCONPV06,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.10.c,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to private equity funds,RCFDPV07,RCONPV07,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.10.d,RC-C Part I Memoranda: Loans to nondepository financial institutions: Loans to consumer credit intermediaries,RCFDPV08,RCONPV08,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.10.e,RC-C Part I Memoranda: Loans to nondepository financial institutions: Other loans to nondepository financial institutions,RCFDPV09,RCONPV09,031/041/051,2024-12-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
2,Loans to depository institutions and acceptances of other banks,-,RCON1288,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
4,Commercial and industrial loans,-,RCON1766,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
9.b,Other loans (041 aggregate of 9.b.(1) and 9.b.(2)),-,RCONJ464,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
M.1.e,RC-C Part I Memoranda: Loan modifications: Commercial and industrial loans (total),-,RCONK256,041/051,2017-03-31,"Loan category. Consolidated (RCFD, col A); domestic offices (RCON, col B)."
