edit_label,rule_type,kind,forms,first_cycle,last_cycle,n_cycles_observed,n_expression_changes
ffiec031_NegQ.RI.1A5,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1B,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1C,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1D1,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1D2,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1D3,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1E,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1F,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1G,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.1H,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2A1A,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2A1B1,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2A1B2,quality,bound,031,2001-12-31,2026-06-30,30,1
ffiec031_NegQ.RI.2A1B3,quality,bound,031,2001-12-31,2026-06-30,30,1
ffiec031_NegQ.RI.2A2,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2B,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2C,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2D,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.2E,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.5A,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.5B,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.7A,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.7E,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.M1,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.M10,quality,bound,031,2001-12-31,2014-12-31,14,0
ffiec031_NegQ.RI.M2,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.M3,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RI.M4,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E1AB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E1BB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E1CB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E1DB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E1EB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2AB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2BB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2CB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2DB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2EB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2FB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E2GB,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_NegQ.RIE.E6AB,quality,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0110.2025,validity,compound,031,2001-12-31,2026-06-30,30,7
ffiec031_R0125.2019,quality,function,031,2001-12-31,2007-12-31,7,1
ffiec031_R0135.2020,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0140.2021,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0145.2022,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0150.1028,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R0150.2023,quality,function,031,2001-12-31,2016-12-31,16,5
ffiec031_R0150.2043,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R0155.2024,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0170.2045,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R0175.2026,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0180.2027,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0185.2028,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0190.1039,validity,compound,031,2001-12-31,2002-12-31,2,0
ffiec031_R0190.2029,quality,function,031,2001-12-31,2002-12-31,2,0
ffiec031_R0190.2054,validity,compound,031,2001-12-31,2002-12-31,2,0
ffiec031_R0195.2030,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0200.2031,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0205.2032,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0210.1045,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0210.2033,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0220.2034,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0225.2036,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0230.1046,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R0230.2037,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0235.2038,quality,function,031,2001-12-31,2026-06-30,30,6
ffiec031_R0240.2039,quality,function,031,2001-12-31,2026-06-30,30,6
ffiec031_R0250.2040,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0250.2062,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R0255.2041,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0260.2042,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0265.2044,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0270.2064,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R0280.2046,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0285.2047,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0290.2049,quality,function,031,2001-12-31,2006-12-31,6,1
ffiec031_R0295.2050,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0310.2052,quality,function,031,2001-12-31,2002-12-31,2,0
ffiec031_R0320.2055,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0322.1041,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0330.1054,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0330.2069,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0350.2071,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0360.2065,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0362.2066,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0370.2067,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0370.4072,validity,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0370.4080,validity,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0375.1053,quality,bound,031,2001-12-31,2002-12-31,2,0
ffiec031_R0375.2068,quality,bound,031,2001-12-31,2002-12-31,2,0
ffiec031_R0382.2070,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0390.2072,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0390.2074,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0401.2073,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0410.2048,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R0412.2077,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0422.2078,quality,function,031,2001-12-31,2026-06-30,30,3
ffiec031_R0424.2079,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0430.2080,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0440.2081,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0450.2082,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0460.2083,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0480.2088,quality,bound,031,2001-12-31,2005-12-31,5,0
ffiec031_R0482.2089,quality,function,031,2001-12-31,2005-12-31,5,0
ffiec031_R0490.2091,quality,bound,031,2001-12-31,2005-12-31,5,0
ffiec031_R0492.2092,quality,function,031,2001-12-31,2005-12-31,5,0
ffiec031_R0500.2094,quality,function,031,2001-12-31,2005-12-31,5,0
ffiec031_R0500.2106,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R0510.2096,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0522.2099,quality,identity,031,2001-12-31,2026-06-30,30,1
ffiec031_R0530.2115,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R0600.1113,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0600.2130,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0610.2104,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0620.1133,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0620.2107,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0620.2145,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0630.2108,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0640.1134,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0640.2109,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0640.2146,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0650.1088,quality,function,031,2001-12-31,2001-12-31,1,0
ffiec031_R0660.1089,quality,function,031,2001-12-31,2001-12-31,1,0
ffiec031_R0660.1138,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0660.2162,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R0670.2112,quality,function,031,2001-12-31,2005-12-31,5,0
ffiec031_R0680.1136,validity,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0680.2113,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0680.2148,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0700.1140,validity,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0700.2116,quality,function,031,2001-12-31,2007-12-31,7,1
ffiec031_R0700.2117,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2118,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2121,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2122,quality,function,031,2001-12-31,2007-12-31,7,1
ffiec031_R0700.2123,quality,function,031,2001-12-31,2016-12-31,16,4
ffiec031_R0700.2124,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2125,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2126,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0700.2127,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0700.2128,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2129,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0700.2164,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0710.2131,quality,function,031,2001-12-31,2007-12-31,7,1
ffiec031_R0710.2132,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2133,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2136,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2137,quality,function,031,2001-12-31,2007-12-31,7,1
ffiec031_R0710.2138,quality,function,031,2001-12-31,2016-12-31,16,4
ffiec031_R0710.2139,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2140,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2141,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0710.2142,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R0710.2143,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0710.2144,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0720.2147,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0720.2149,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0720.2152,validity,bound,031,2001-12-31,2016-12-31,16,0
ffiec031_R0720.2153,quality,function,031,2001-12-31,2016-12-31,16,4
ffiec031_R0720.2154,quality,value_domain,031,2001-12-31,2026-06-30,30,6
ffiec031_R0720.2157,quality,function,031,2001-12-31,2006-12-31,6,1
ffiec031_R0720.2160,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0730.2163,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0730.2165,quality,value_domain,031,2001-12-31,2026-06-30,30,5
ffiec031_R0730.2169,quality,function,031,2001-12-31,2016-12-31,16,4
ffiec031_R0730.2170,quality,value_domain,031,2001-12-31,2026-06-30,30,5
ffiec031_R0730.2173,quality,function,031,2001-12-31,2006-12-31,6,1
ffiec031_R0730.2176,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0740.2168,validity,bound,031,2001-12-31,2016-12-31,16,1
ffiec031_R0760.2156,validity,value_domain,031,2001-12-31,2026-06-30,30,1
ffiec031_R0780.2172,validity,value_domain,031,2001-12-31,2026-06-30,30,1
ffiec031_R0800.1153,quality,bound,031,2001-12-31,2026-06-30,30,1
ffiec031_R0800.2159,validity,value_domain,031,2001-12-31,2026-06-30,30,2
ffiec031_R0805.1154,quality,bound,031,2001-12-31,2026-06-30,30,1
ffiec031_R0820.1160,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R0820.2175,validity,value_domain,031,2001-12-31,2026-06-30,30,2
ffiec031_R0840.2161,validity,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R0850.2053,quality,value_domain,031,2001-12-31,2026-06-30,30,8
ffiec031_R0852.3039,quality,function,031,2001-12-31,2008-12-31,8,3
ffiec031_R0855.3040,quality,value_domain,031,2001-12-31,2026-06-30,30,8
ffiec031_R0860.2059,quality,value_domain,031,2001-12-31,2026-06-30,30,5
ffiec031_R0860.2177,validity,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R0865.3042,quality,value_domain,031,2001-12-31,2026-06-30,30,6
ffiec031_R0880.2063,quality,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0880.4052,quality,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R0890.2105,quality,compound,031,2001-12-31,2010-12-31,10,4
ffiec031_R0900.2114,quality,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R0951.2192,quality,compound,031,2001-12-31,2026-06-30,30,3
ffiec031_R0952.3003,quality,compound,031,2001-12-31,2026-06-30,30,3
ffiec031_R1010.1167,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1015.2186,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R1020.1170,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R1020.2198,quality,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R1030.1171,quality,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R1030.2199,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1040.2188,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R1040.4063,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R1050.1173,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1050.2201,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1060.1174,quality,complex,031,2001-12-31,2017-12-31,17,3
ffiec031_R1060.2202,quality,complex,031,2001-12-31,2017-12-31,17,3
ffiec031_R1070.1175,quality,inequality,031,2001-12-31,2026-06-30,30,0
ffiec031_R1070.2203,quality,inequality,031,2001-12-31,2026-06-30,30,0
ffiec031_R1080.1180,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R1080.2207,quality,complex,031,2001-12-31,2002-12-31,2,0
ffiec031_R1100.1155,validity,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1100.1182,quality,bound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1100.2209,quality,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1110.1183,quality,complex,031,2001-12-31,2002-12-31,2,0
ffiec031_R1110.2210,quality,complex,031,2001-12-31,2002-12-31,2,0
ffiec031_R1120.1156,validity,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1120.1185,quality,complex,031,2001-12-31,2026-06-30,30,4
ffiec031_R1120.2212,quality,complex,031,2001-12-31,2026-06-30,30,4
ffiec031_R1130.1186,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1130.2213,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1135.1187,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1135.2214,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1140.1157,validity,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1140.1188,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1140.2215,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1150.1189,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R1150.2216,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R1160.1158,validity,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1160.1190,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R1160.2217,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R1165.1191,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R1165.2218,quality,function,031,2001-12-31,2026-06-30,30,5
ffiec031_R1170.1192,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1170.2219,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R1180.1159,validity,compound,031,2001-12-31,2005-12-31,5,0
ffiec031_R1190.1197,quality,value_domain,031,2001-12-31,2026-06-30,30,7
ffiec031_R1190.2224,quality,value_domain,031,2001-12-31,2026-06-30,30,7
ffiec031_R1670.1254,quality,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R1670.2282,quality,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R1690.1256,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R1690.2284,quality,function,031,2001-12-31,2026-06-30,30,4
ffiec031_R1700.1257,quality,complex,031,2001-12-31,2026-06-30,30,4
ffiec031_R1700.2285,quality,complex,031,2001-12-31,2026-06-30,30,4
ffiec031_R1720.4069,quality,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R1720.4115,quality,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2005.2196,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2005.4075,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2020.1169,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2020.2197,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2040.2204,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2040.4073,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2060.2205,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2080.1179,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2100.2211,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2100.4074,validity,compound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2105.2293,quality,complex,031,2001-12-31,2026-06-30,30,1
ffiec031_R2120.1193,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2120.2220,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2125.1194,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2125.2221,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2140.1195,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2140.2222,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2145.1196,validity,identity,031,2001-12-31,2026-06-30,30,0
ffiec031_R2145.2223,validity,identity,031,2001-12-31,2026-06-30,30,5
ffiec031_R2180.1281,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2180.2296,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2200.1201,validity,bound,031,2001-12-31,2026-06-30,30,1
ffiec031_R2200.4070,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2200.4093,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2210.4071,quality,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2220.1202,validity,bound,031,2001-12-31,2017-12-31,17,0
ffiec031_R2220.4067,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2220.4095,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2230.4066,quality,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2230.4096,quality,bound,031,2001-12-31,2001-12-31,1,0
ffiec031_R2240.1203,validity,bound,031,2001-12-31,2017-12-31,17,0
ffiec031_R2240.1288,quality,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2240.2303,quality,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2260.1204,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R2260.1290,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2260.2305,quality,complex,031,2001-12-31,2001-12-31,1,0
ffiec031_R2270.2307,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R2275.2308,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R2280.1199,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2280.1295,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R2280.2233,validity,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2280.2310,quality,complex,031,2001-12-31,2026-06-30,30,3
ffiec031_R2300.1200,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2300.2234,validity,compound,031,2001-12-31,2026-06-30,30,4
ffiec031_R2320.1205,validity,compound,031,2001-12-31,2020-12-31,20,4
ffiec031_R2325.1206,validity,bound,031,2001-12-31,2026-06-30,30,0
ffiec031_R2412.2313,quality,complex,031,2001-12-31,2026-06-30,30,6
ffiec031_R2430.1302,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2431.2318,quality,complex,031,2001-12-31,2016-12-31,16,6
ffiec031_R2432.3612,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2435.2315,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2440.2319,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2450.2321,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2460.2325,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2464.2329,quality,compound,031,2001-12-31,2026-06-30,30,7
ffiec031_R2472.2335,quality,complex,031,2001-12-31,2026-06-30,30,5
ffiec031_R2494.1318,quality,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2494.2320,quality,compound,031,2001-12-31,2026-06-30,30,5
ffiec031_R2500.1207,validity,compound,031,2001-12-31,2026-06-30,30,7
