line_number,item_description,column,column_description,mdrm_code,forms,category,start_date,notes
M.3.a.(2),"RC-E Memoranda: Maturity/repricing time deposits $250,000 or less: Over three months through 12 months",M,Single column,RCONHK08,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.3.a.(3),"RC-E Memoranda: Maturity/repricing time deposits $250,000 or less: Over one year through three years",M,Single column,RCONHK09,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.3.a.(4),"RC-E Memoranda: Maturity/repricing time deposits $250,000 or less: Over three years",M,Single column,RCONHK10,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.3.b,"RC-E Memoranda: Time deposits $250,000 or less with REMAINING MATURITY of one year or less",M,Single column,RCONHK11,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.4.a.(1),"RC-E Memoranda: Maturity/repricing time deposits more than $250,000: Three months or less",M,Single column,RCONHK12,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.4.a.(2),"RC-E Memoranda: Maturity/repricing time deposits more than $250,000: Over three months through 12 months",M,Single column,RCONHK13,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.4.a.(3),"RC-E Memoranda: Maturity/repricing time deposits more than $250,000: Over one year through three years",M,Single column,RCONHK14,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.4.a.(4),"RC-E Memoranda: Maturity/repricing time deposits more than $250,000: Over three years",M,Single column,RCONHK15,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.4.b,"RC-E Memoranda: Time deposits more than $250,000 with REMAINING MATURITY of one year or less",M,Single column,RCONK222,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.5,RC-E Memoranda: Does institution offer consumer deposit account products? (Yes=P752/No indicator),M,Single column,RCONP752,031/041/051,Memoranda,2017-03-31,from Schedule RC-E Memoranda; single column
M.6.a,RC-E Memoranda: Components of transaction account deposits of IPC: Noninterest-bearing consumer products,M,Single column,RCONP753,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.6.b,RC-E Memoranda: Components of transaction account deposits of IPC: Interest-bearing consumer products,M,Single column,RCONP754,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.7.a.(1),RC-E Memoranda: Components of nontransaction deposits of IPC: MMDA consumer products,M,Single column,RCONP756,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.7.a.(2),RC-E Memoranda: Components of nontransaction deposits of IPC: All other MMDAs,M,Single column,RCONP757,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.7.b.(1),RC-E Memoranda: Components of nontransaction deposits of IPC: Other savings consumer products,M,Single column,RCONP758,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.7.b.(2),RC-E Memoranda: Components of nontransaction deposits of IPC: All other savings deposits,M,Single column,RCONP759,031/041/051,Memoranda,2019-09-30,from Schedule RC-E Memoranda; single column
M.1.h.(1),"RC-E Memoranda: Sweep deposits: Fully insured, affiliate sweep deposits",M,Single column,RCONMT87,031/041/051,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(1)(a),"RC-E Memoranda: Sweep deposits: Fully insured, affiliate, retail sweep deposits",M,Single column,RCONMT88,031,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(2),"RC-E Memoranda: Sweep deposits: Not fully insured, affiliate sweep deposits",M,Single column,RCONMT89,031/041/051,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(2)(a),"RC-E Memoranda: Sweep deposits: Not fully insured, affiliate, retail sweep deposits",M,Single column,RCONMT90,031,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(3),"RC-E Memoranda: Sweep deposits: Fully insured, non-affiliate sweep deposits",M,Single column,RCONMT91,031/041/051,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(3)(a),"RC-E Memoranda: Sweep deposits: Fully insured, non-affiliate, retail sweep deposits",M,Single column,RCONMT92,031,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(4),"RC-E Memoranda: Sweep deposits: Not fully insured, non-affiliate sweep deposits",M,Single column,RCONMT93,031/041/051,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
M.1.h.(4)(a),"RC-E Memoranda: Sweep deposits: Not fully insured, non-affiliate, retail sweep deposits",M,Single column,RCONMT94,031,Memoranda,2021-09-30,from Schedule RC-E Memoranda; sweep deposits
